strain,stage,hour,medianLength,medianWidth
dpy-1,L1,1,242.36003534,16.702932489210525
dpy-1,L1,1,237.34670789,16.448923411153846
dpy-1,L1,1,241.52448076500002,16.59157400065915
dpy-1,L1,1,239.01781704,16.93448344756097
dpy-1,L1,1,249.04447194,16.50637784547619
dpy-1,L1,1,238.182262465,16.083664102707104
dpy-1,L1,1,242.36003534,16.551920994634145
dpy-1,L1,1,239.01781704,17.033881370598213
dpy-1,L1,1,243.195589915,17.778916754975043
dpy-1,L1,1,231.49782586499998,15.342337566471732
dpy-1,L1,1,234.00448959,15.72058335654315
dpy-1,L1,1,240.68892619,17.066558580119047
dpy-1,L1,1,249.04447194,16.67612958324675
dpy-1,L1,1,246.53780821499998,16.90528762283213
dpy-1,L1,1,242.36003534,17.052194971538455
dpy-1,L1,1,240.68892619,17.37487510848837
dpy-1,L1,1,240.68892619,17.02596577326087
dpy-1,L1,1,244.866699065,16.692613370414474
dpy-1,L1,1,237.34670789,17.490937924545456
dpy-1,L1,1,238.182262465,17.12952463168743
dpy-1,L1,1,242.36003534,17.010106258023256
dpy-1,L1,1,242.36003534,16.624559435063293
dpy-1,L1,2,249.04447194,17.168957209032257
dpy-1,L1,2,250.71558109,16.8083192343617
dpy-1,L1,2,245.70225364,15.179972887586203
dpy-1,L1,2,239.01781704,16.474594541382974
dpy-1,L1,2,249.04447194,17.62044514920412
dpy-1,L1,2,244.03114449,16.976546633014042
dpy-1,L1,2,244.03114449,17.187931072625
dpy-1,L1,2,249.880026515,17.251012294482607
dpy-1,L1,2,235.67559874,16.857198103535353
dpy-1,L1,2,250.71558109,16.381893237777778
dpy-1,L1,2,240.68892619000002,16.297686453132137
dpy-1,L1,2,249.04447194,17.370305228464243
dpy-1,L1,2,254.05779939,16.270847309319535
dpy-1,L1,2,251.551135665,16.891542764069186
dpy-1,L1,2,247.37336279,17.56083569892157
dpy-1,L1,2,249.04447194,16.24326265193182
dpy-1,L1,2,250.71558109,16.762968258252798
dpy-1,L1,2,248.208917365,16.83781811347321
dpy-1,L1,2,244.86669906499998,16.15806033739698
dpy-1,L1,2,244.03114449,16.26975248193517
dpy-1,L1,2,254.05779938999999,17.53777219712841
dpy-1,L1,2,245.70225364,16.401314511729048
dpy-1,L1,3,244.03114449,16.92651339645833
dpy-1,L1,3,249.880026515,16.435191987287485
dpy-1,L1,3,251.551135665,15.89592448080128
dpy-1,L1,3,245.70225364,16.736195582765568
dpy-1,L1,3,245.70225364,16.417826938969068
dpy-1,L1,3,260.74223599000004,16.5213159984
dpy-1,L1,3,250.71558109,16.30356584416979
dpy-1,L1,3,246.53780821499998,17.196356555219218
dpy-1,L1,3,249.04447194,16.930184993033706
dpy-1,L1,3,254.05779938999999,16.95059134031579
dpy-1,L1,3,252.38669024,16.24783289102564
dpy-1,L1,3,264.08445429,16.80256536034483
dpy-1,L1,3,266.591118015,17.376864756763634
dpy-1,L1,3,252.38669024,16.684986195652172
dpy-1,L1,3,264.08445429,16.94573528441176
dpy-1,L1,3,245.70225364,16.879831668571427
dpy-1,L1,3,249.04447194,16.906828330481925
dpy-1,L1,3,262.41334514,16.31965093392857
dpy-1,L1,3,257.40001769,16.90472859011111
dpy-1,L1,3,252.38669024,16.95621995056818
dpy-1,L1,3,254.89335396500002,16.733029919032347
dpy-1,L1,3,256.564463115,16.85599941801864
dpy-1,L1,4,260.74223599000004,17.633529384272727
dpy-1,L1,4,260.74223599000004,17.430517814491523
dpy-1,L1,4,259.07112684000003,16.85347022223529
dpy-1,L1,4,259.07112684000003,17.976541062394443
dpy-1,L1,4,263.248899715,17.19825019142105
dpy-1,L1,4,250.71558109,17.029213197809526
dpy-1,L1,4,262.41334514,17.04529966683662
dpy-1,L1,4,257.40001769,17.052194971538455
dpy-1,L1,4,259.07112684000003,17.097858795058173
dpy-1,L1,4,264.08445429,16.855737873533023
dpy-1,L1,4,260.74223599000004,17.0898994440625
dpy-1,L1,4,267.42667259,16.879831668571427
dpy-1,L1,4,260.74223599000004,16.82310450556962
dpy-1,L1,4,264.08445429,16.95059134031579
dpy-1,L1,4,269.09778173999996,16.879831668571427
dpy-1,L1,4,260.74223599000004,17.10642162865168
dpy-1,L1,4,259.07112684000003,16.5213159984
dpy-1,L1,4,259.90668141500004,17.073380378926647
dpy-1,L1,4,259.90668141500004,17.30470517619984
dpy-1,L1,4,267.42667259,17.052194971538455
dpy-1,L1,4,268.262227165,17.309295195480054
dpy-1,L1,4,265.75556344,17.811368171123593
dpy-1,L1,5,269.09778173999996,17.51234343213795
dpy-1,L1,5,257.40001769,16.879831668571427
dpy-1,L1,5,274.11110919,17.388615349278197
dpy-1,L1,5,264.08445429,17.280803141789473
dpy-1,L1,5,258.23557226500003,17.493559091084556
dpy-1,L1,5,262.41334514000005,17.32920034299741
dpy-1,L1,5,265.75556344,17.776120843999998
dpy-1,L1,5,269.93333631499996,17.100813566883517
dpy-1,L1,5,264.08445429,17.227120175265235
dpy-1,L1,5,259.07112684000003,17.3908737422807
dpy-1,L1,5,280.79554579,17.596128345655735
dpy-1,L1,5,275.78221834,17.743443634479167
dpy-1,L1,5,269.09778173999996,17.0898994440625
dpy-1,L1,5,279.12443664,17.82513665828125
dpy-1,L1,5,277.45332749,17.526916751984874
dpy-1,L1,5,278.288882065,17.95686761262877
dpy-1,L1,5,280.79554579,17.041325213693693
dpy-1,L1,5,267.42667259,17.9329714497
dpy-1,L1,5,271.60444546499997,17.9099726102975
dpy-1,L1,5,270.76889088999997,17.70999411147876
dpy-1,L1,5,271.60444546499997,17.144924703464135
dpy-1,L1,5,283.302209515,17.303389161092742
dpy-1,L1,6,284.13776409,18.171780029549545
dpy-1,L1,6,277.45332749,18.41333079554333
dpy-1,L1,6,288.31553696500004,18.12892445569635
dpy-1,L1,6,291.657755265,18.71211924624606
dpy-1,L1,6,287.47998239000003,17.56083569892157
dpy-1,L1,6,295.83552814,18.32168816817391
dpy-1,L1,6,279.12443664,18.009203037784967
dpy-1,L1,6,284.13776409,17.91871230372727
dpy-1,L1,6,278.288882065,18.37002119567961
dpy-1,L1,6,281.631100365,17.620529360134746
dpy-1,L1,6,275.78221834,18.000193137857142
dpy-1,L1,6,284.13776409,17.407060595294116
dpy-1,L1,6,274.946663765,18.226843778743582
dpy-1,L1,6,282.46665494,18.140238321517856
dpy-1,L1,6,287.47998239000003,17.299967219553572
dpy-1,L1,6,282.46665494,17.504648641826922
dpy-1,L1,6,287.47998239000003,18.066096753697476
dpy-1,L1,6,274.946663765,17.70713562390046
dpy-1,L1,6,279.959991215,17.751901733814705
dpy-1,L1,6,295.83552814,18.00019313785714
dpy-1,L1,6,280.79554579,16.80404251035504
dpy-1,L1,6,282.46665494,17.98931584203883
dpy-1,L1,7,282.46665494,19.130928324451055
dpy-1,L1,7,277.45332749,17.953385583210434
dpy-1,L1,7,287.47998239000003,18.41514183018518
dpy-1,L1,7,291.657755265,19.121151894344926
dpy-1,L1,7,297.50663728999996,18.307389024596773
dpy-1,L1,7,285.80887324,18.459230128745038
dpy-1,L1,7,291.657755265,18.285631508955902
dpy-1,L1,7,292.49330984,18.10792020221154
dpy-1,L1,7,292.49330984,18.730863661304348
dpy-1,L1,7,288.315536965,19.077644174098154
dpy-1,L1,7,304.19107389,18.310284295633885
dpy-1,L1,7,292.49330984,18.519208171659166
dpy-1,L1,7,280.79554579,18.236599686422014
dpy-1,L1,7,294.16441899,18.298956196333332
dpy-1,L1,7,294.999973565,19.05809666066614
dpy-1,L1,7,293.328864415,18.051045970747932
dpy-1,L1,7,289.15109154000004,17.884293675517238
dpy-1,L1,7,302.51996474,18.669345698896812
dpy-1,L1,7,289.15109154000004,17.970449028053096
dpy-1,L1,7,292.49330984,18.62465690762295
dpy-1,L1,7,280.79554579,18.331806012743492
dpy-1,L1,7,295.83552813999995,18.14021768110759
dpy-1,L1,8,294.16441899,19.26059979080357
dpy-1,L1,8,310.87551049,18.899745502031205
dpy-1,L1,8,311.711065065,18.16586935575338
dpy-1,L1,8,297.50663728999996,19.359664200956487
dpy-1,L1,8,284.973318665,18.390184065728736
dpy-1,L1,8,289.986646115,18.975364521217557
dpy-1,L1,8,287.47998239000003,19.17508266959819
dpy-1,L1,8,298.342191865,19.309553638189396
dpy-1,L1,8,295.83552814,18.38686656530973
dpy-1,L1,8,285.80887324,19.763101837156125
dpy-1,L1,8,287.47998239000003,18.755405711247008
dpy-1,L1,8,285.80887324,18.83221905868528
dpy-1,L1,8,302.51996474,19.02560871991525
dpy-1,L1,8,301.684410165,18.93454679795036
dpy-1,L1,8,289.986646115,19.398981071292077
dpy-1,L1,8,289.15109154000004,18.837416687587407
dpy-1,L1,8,300.84885558999997,19.63166165759386
dpy-1,L1,8,294.16441899,19.71277395714987
dpy-1,L1,8,302.51996474,19.331220866324784
dpy-1,L1,8,295.83552814,19.063100172820512
dpy-1,L1,8,287.47998239000003,19.601824433345307
dpy-1,L1,8,296.671082715,19.271096195278567
dpy-1,L1,9,292.49330984,19.998171091416662
dpy-1,L1,9,295.83552813999995,19.768814073647796
dpy-1,L1,9,300.01330101499997,19.78169968125311
dpy-1,L1,9,310.87551049,18.821791548666663
dpy-1,L1,9,302.51996474,20.505066341544715
dpy-1,L1,9,292.49330984,19.192007568461715
dpy-1,L1,9,300.01330101499997,19.70557133236185
dpy-1,L1,9,305.86218304,18.67241001942857
dpy-1,L1,9,298.34219186499996,20.390697021520243
dpy-1,L1,9,318.395501665,19.16256816224107
dpy-1,L1,9,294.16441899,19.68560647860869
dpy-1,L1,9,300.84885558999997,19.412822816521736
dpy-1,L1,9,301.684410165,19.528157915039102
dpy-1,L1,9,302.51996474,18.19790398537815
dpy-1,L1,9,305.86218304,19.920812799489795
dpy-1,L1,9,313.382174215,19.15290918827902
dpy-1,L1,9,318.395501665,19.32524483064696
dpy-1,L1,9,304.19107389,19.49844104622786
dpy-1,L1,9,315.88883794000003,19.388810170211265
dpy-1,L1,9,280.79554579,18.710040480992365
dpy-1,L1,9,320.90216539,19.494008430238093
dpy-1,L1,9,302.51996474,19.564995520578513
dpy-1,L1,10,320.90216539,21.049524789043478
dpy-1,L1,10,309.20440134,19.50688614827586
dpy-1,L1,10,309.20440134,20.0308483009375
dpy-1,L1,10,322.57327454,20.605205388527605
dpy-1,L1,10,300.84885558999997,19.103318276846153
dpy-1,L1,10,320.90216539,19.420409774701206
dpy-1,L1,10,304.19107389,20.001522600085465
dpy-1,L1,10,305.86218304,20.760107976829264
dpy-1,L1,10,302.51996474,19.046481121570245
dpy-1,L1,10,284.13776409,19.862295896096832
dpy-1,L1,10,295.83552814,20.0201149109489
dpy-1,L1,10,300.01330101499997,20.147774945735044
dpy-1,L1,10,296.671082715,19.95723427772071
dpy-1,L1,10,300.84885558999997,20.1913425600885
dpy-1,L1,10,310.87551049,19.883756149233047
dpy-1,L1,10,302.51996474,18.02708181312
dpy-1,L1,10,314.21772879,20.04058654218543
dpy-1,L1,10,315.88883794000003,20.417815255789474
dpy-1,L1,10,309.20440134,20.078282959919353
dpy-1,L1,10,312.54661964,19.986288469772724
dpy-1,L1,10,315.05328336499997,19.413855383945794
dpy-1,L1,10,314.21772879,20.472395718842975
dpy-1,L2,18,359.33767584,20.342767119090905
dpy-1,L2,18,367.69322159,21.267914089940476
dpy-1,L2,18,357.66656668999997,21.39841659994475
dpy-1,L2,18,362.67989414,21.3265376551938
dpy-1,L2,18,342.62658434,19.385903376184206
dpy-1,L2,18,335.106593165,20.481692037390893
dpy-1,L2,18,354.32434838999995,21.30322772865285
dpy-1,L2,18,349.31102094,20.233081380839163
dpy-1,L2,18,367.69322159,21.15757546038961
dpy-1,L2,18,350.98213008999994,20.860490496895494
dpy-1,L2,18,359.33767584,21.115520836322577
dpy-1,L2,18,370.199885315,21.166676607776104
dpy-1,L2,18,349.31102094,21.902662908900396
dpy-1,L2,18,362.67989414,20.880667938151376
dpy-1,L2,18,361.00878499,20.87469227118722
dpy-1,L2,18,372.70654904,21.71917079284722
dpy-1,L2,18,351.817684665,20.939259446968144
dpy-1,L2,18,352.65323924,20.995263268060874
dpy-1,L2,18,347.63991179,21.021305789517243
dpy-1,L2,18,355.159902965,21.325541878159484
dpy-1,L2,18,349.31102094,21.044746461033128
dpy-1,L2,18,362.67989414,21.967151907653772
dpy-1,L2,19,352.65323924,22.061186026428004
dpy-1,L2,19,359.33767584,21.375641154294872
dpy-1,L2,19,355.99545753999996,21.405213289607843
dpy-1,L2,19,350.98213009,21.22296131493827
dpy-1,L2,19,357.66656668999997,22.127460227935483
dpy-1,L2,19,355.99545753999996,21.06231248381789
dpy-1,L2,19,370.199885315,21.143787629962574
dpy-1,L2,19,356.831012115,22.780556233981077
dpy-1,L2,19,349.31102094,20.910370808968803
dpy-1,L2,19,337.61325689,22.63541411862745
dpy-1,L2,19,340.95547519,21.68138082265306
dpy-1,L2,19,362.67989414,21.730758455797872
dpy-1,L2,19,366.02211244,22.045942888055556
dpy-1,L2,19,372.70654904,22.57789898762462
dpy-1,L2,19,372.70654904,22.337297966809814
dpy-1,L2,19,356.83101211499996,21.6881839124314
dpy-1,L2,19,354.32434838999995,21.622967815912407
dpy-1,L2,19,370.199885315,21.57834758038839
dpy-1,L2,19,361.00878499,22.314776668510635
dpy-1,L2,19,361.00878499,21.554149316547715
dpy-1,L2,19,349.31102094,23.60200048428571
dpy-1,L2,19,351.817684665,21.571812484531133
dpy-1,L2,20,381.897649365,22.921296015825757
dpy-1,L2,20,366.02211244,21.910074565094455
dpy-1,L2,20,355.99545753999996,22.205509521559886
dpy-1,L2,20,347.63991179000004,21.132155052952008
dpy-1,L2,20,355.99545753999996,22.433525332269934
dpy-1,L2,20,357.66656668999997,22.193409269482906
dpy-1,L2,20,344.29769349000003,22.75585336062937
dpy-1,L2,20,361.00878499,22.975224837132867
dpy-1,L2,20,359.33767584,22.431042045419353
dpy-1,L2,20,347.63991179,22.70571130885714
dpy-1,L2,20,372.70654904,22.560624862574727
dpy-1,L2,20,365.186557865,21.790487030193972
dpy-1,L2,20,357.66656668999997,22.11065264225277
dpy-1,L2,20,364.35100329,22.566883909402172
dpy-1,L2,20,378.555431065,21.215691319399617
dpy-1,L2,20,361.844339565,22.70359741929245
dpy-1,L2,20,371.870994465,22.524155790205448
dpy-1,L2,20,356.83101211499996,21.901071223016956
dpy-1,L2,20,361.00878499,21.964549106098897
dpy-1,L2,20,371.870994465,22.508489989303015
dpy-1,L2,20,374.37765819,23.221903492221955
dpy-1,L2,20,367.69322159,21.82387841045161
dpy-1,L2,21,374.37765819000003,22.894403766842103
dpy-1,L2,21,379.39098563999994,24.23467519635294
dpy-1,L2,21,385.23986766499996,24.74476657776828
dpy-1,L2,21,362.67989414,23.50193159252727
dpy-1,L2,21,372.70654904,24.085529269291786
dpy-1,L2,21,357.66656668999997,22.36960286807143
dpy-1,L2,21,370.199885315,23.43094369936192
dpy-1,L2,21,372.70654903999997,22.649794168858556
dpy-1,L2,21,375.21321276500004,22.454963741921766
dpy-1,L2,21,349.31102094,22.98942874568345
dpy-1,L2,21,371.87099446499997,22.57907236858435
dpy-1,L2,21,379.39098564,24.325780990106196
dpy-1,L2,21,377.71987649000005,23.78872739583333
dpy-1,L2,21,382.73320393999995,23.63333926664335
dpy-1,L2,21,369.36433074,23.669901179393936
dpy-1,L2,21,388.582085965,23.621220958968948
dpy-1,L2,21,370.199885315,23.06406221998897
dpy-1,L2,21,382.73320393999995,23.138834290279327
dpy-1,L2,21,381.06209478999995,24.3638462834
dpy-1,L2,21,384.40431308999996,23.473223303908046
dpy-1,L2,21,392.75985884,25.37996542467391
dpy-1,L2,21,344.29769349000003,22.05191132815068
dpy-1,L2,22,378.555431065,24.040154587560508
dpy-1,L2,22,399.44429543999996,24.55168848690799
dpy-1,L2,22,386.91097681499997,25.18126801779635
dpy-1,L2,22,381.06209478999995,25.246924259999997
dpy-1,L2,22,377.71987649000005,23.097544534764396
dpy-1,L2,22,387.74653139,24.941130761183434
dpy-1,L2,22,395.266522565,24.203749640561156
dpy-1,L2,22,384.40431308999996,24.467089720063292
dpy-1,L2,22,375.213212765,24.7263737516233
dpy-1,L2,22,379.39098564,24.488001387658603
dpy-1,L2,22,396.937631715,24.94857524495599
dpy-1,L2,22,382.73320393999995,24.66011964972222
dpy-1,L2,22,375.21321276500004,23.6156634290331
dpy-1,L2,22,377.71987649000005,24.69800626945652
dpy-1,L2,22,397.77318629,25.941578846617645
dpy-1,L2,22,404.45762289000004,23.274703875280895
dpy-1,L2,22,380.226540215,23.36325287890518
dpy-1,L2,22,401.11540459,24.018324810576445
dpy-1,L2,22,356.83101211499996,22.865836563024168
dpy-1,L2,22,376.04876734,23.039622962448178
dpy-1,L2,22,394.43096799,24.39667547994186
dpy-1,L2,22,407.79984118999994,23.1284456364433
dpy-1,L2,23,396.10207714,25.55832397296153
dpy-1,L2,23,396.10207714,25.095815776666665
dpy-1,L2,23,406.964286615,24.262814779865096
dpy-1,L2,23,401.11540459,24.178418341671836
dpy-1,L2,23,399.44429544,23.772483233875
dpy-1,L2,23,402.78651374000003,27.09209621284848
dpy-1,L2,23,392.75985884,24.53139124857954
dpy-1,L2,23,389.41764054,25.540723238218817
dpy-1,L2,23,382.73320393999995,25.31761311817278
dpy-1,L2,23,411.14205948999995,25.22271756121359
dpy-1,L2,23,401.95095916500003,26.32180228097027
dpy-1,L2,23,415.319832365,25.30432357007829
dpy-1,L2,23,411.14205948999995,25.39176453001666
dpy-1,L2,23,417.82649609,24.712203386835846
dpy-1,L2,23,422.83982354,26.07997643988235
dpy-1,L2,23,395.266522565,25.768700489888822
dpy-1,L2,23,390.253195115,26.02337731964831
dpy-1,L2,23,412.81316863999996,27.54363583531818
dpy-1,L2,23,407.79984118999994,25.817964053370165
dpy-1,L2,23,391.08874969,24.996237297949328
dpy-1,L2,23,411.14205949,24.64647907116226
dpy-1,L2,23,407.79984118999994,25.158430788922153
dpy-1,L2,24,422.83982354,26.954534582915507
dpy-1,L2,24,414.48427778999996,26.882833676925166
dpy-1,L2,24,425.346487265,27.225733331031968
dpy-1,L2,24,414.48427778999996,26.651569751902436
dpy-1,L2,24,406.12873204,26.21900505946385
dpy-1,L2,24,416.15538693999997,28.63500893092307
dpy-1,L2,24,399.44429544,26.509005805474086
dpy-1,L2,24,412.81316863999996,26.474199887363635
dpy-1,L2,24,394.43096799,25.21735802091039
dpy-1,L2,24,439.55091503999995,28.607396501293533
dpy-1,L2,24,421.16871439,27.469932139839024
dpy-1,L2,24,414.48427778999996,27.032243007530862
dpy-1,L2,24,411.14205949,26.906601989157522
dpy-1,L2,24,416.15538693999997,26.183950266294417
dpy-1,L2,24,400.27985001499997,25.01537956861538
dpy-1,L2,24,387.74653139,25.881579889999998
dpy-1,L2,24,408.63539576499994,26.25126102902266
dpy-1,L2,24,421.16871439,26.284463583953716
dpy-1,L2,24,411.14205948999995,24.849121248719648
dpy-1,L2,24,411.14205948999995,26.864229468382348
dpy-1,L2,24,419.49760524,26.55372204759615
dpy-1,L2,24,422.004268965,25.007788557399195
dpy-1,L2,25,421.16871439,28.08344636142857
dpy-1,L2,25,428.688705565,27.131948927551225
dpy-1,L2,25,416.15538693999997,27.932286480651925
dpy-1,L2,25,422.83982354,29.414890426376807
dpy-1,L2,25,438.715360465,27.282700702162433
dpy-1,L2,25,407.79984118999994,26.651569751902436
dpy-1,L2,25,430.35981471499997,28.462637455205783
dpy-1,L2,25,432.86647844000004,26.674075121754285
dpy-1,L2,25,414.48427778999996,27.805925630504586
dpy-1,L2,25,406.964286615,27.287702446064102
dpy-1,L2,25,414.48427778999996,26.743883735108696
dpy-1,L2,25,424.51093269,28.586956131308025
dpy-1,L2,25,412.81316864,25.92588258132904
dpy-1,L2,25,414.48427778999996,29.317641348983955
dpy-1,L2,25,440.386469615,28.010927090853514
dpy-1,L2,25,422.004268965,27.03608724069458
dpy-1,L2,25,422.83982354,27.585507930634922
dpy-1,L2,25,445.399797065,27.462203271824645
dpy-1,L2,25,413.648723215,25.474068168438546
dpy-1,L2,25,418.662050665,27.26653502289271
dpy-1,L2,25,427.017596415,26.017925688341816
dpy-1,L2,25,432.86647844000004,24.83529069179719
dpy-1,L2,26,444.56424248999997,30.470076840186046
dpy-1,L2,26,454.59089739,30.569248371406246
dpy-1,L2,26,449.57756994,28.673110292631574
dpy-1,L2,26,422.83982354,28.673110292631574
dpy-1,L2,26,417.82649609,28.061900948557692
dpy-1,L2,26,436.20869674,29.28127963444149
dpy-1,L2,26,424.51093269,30.162467644639175
dpy-1,L2,26,446.23535164,29.52585795856914
dpy-1,L2,26,451.24867909,29.872336279465017
dpy-1,L2,26,474.64420719,28.524244316557375
dpy-1,L2,26,441.22202418999996,28.415405315291004
dpy-1,L2,26,456.26200654,28.673110292631574
dpy-1,L2,26,460.439779415,29.437241463043062
dpy-1,L2,26,466.28866143999994,29.540690555620444
dpy-1,L2,26,419.49760524,27.592939847512437
dpy-1,L2,26,433.702033015,28.21671040988045
dpy-1,L2,26,417.82649609,29.14431961110619
dpy-1,L2,26,433.702033015,29.37332657590359
dpy-1,L2,26,451.24867909,28.718812308898624
dpy-1,L2,26,439.55091503999995,29.319707293054183
dpy-1,L2,26,447.90646079,29.22686053584362
dpy-1,L2,26,422.004268965,28.971056680404928
dpy-1,L3,30,447.90646079,28.967716333355227
dpy-1,L3,30,451.24867909,30.51239002684
dpy-1,L3,30,446.23535164,34.29928153783491
dpy-1,L3,30,467.95977058999995,28.25864692041152
dpy-1,L3,30,457.93311568999997,30.467437572926087
dpy-1,L3,30,462.110888565,30.245295291680446
dpy-1,L3,30,452.084233665,29.72803221414913
dpy-1,L3,30,472.13754346499996,29.881546366585848
dpy-1,L3,30,456.26200654,30.025406241523807
dpy-1,L3,30,456.26200654,29.80133394766666
dpy-1,L3,30,444.56424248999997,29.47423990950739
dpy-1,L3,30,476.31531634,29.607592928781724
dpy-1,L3,30,456.26200654,31.366309168521042
dpy-1,L3,30,453.75534281499995,32.06930892197747
dpy-1,L3,30,449.57756994,29.54959840765432
dpy-1,L3,30,434.53758759000004,31.892675357
dpy-1,L3,30,463.781997715,29.396973601280788
dpy-1,L3,30,460.43977941500003,28.948519849447614
dpy-1,L3,30,449.57756994,31.07760015707423
dpy-1,L3,30,467.95977058999995,30.270999603152543
dpy-1,L3,30,459.60422484000003,31.581621413206747
dpy-1,L3,30,461.27533399,29.407416901388125
dpy-1,L3,31,505.559726465,31.89315044591625
dpy-1,L3,31,486.34197124,30.826361495353368
dpy-1,L3,31,477.98642549,31.982003747194472
dpy-1,L3,31,462.110888565,30.888780842713473
dpy-1,L3,31,454.59089739,32.885875966093515
dpy-1,L3,31,467.95977058999995,33.06670308139184
dpy-1,L3,31,457.93311569,31.89079510519348
dpy-1,L3,31,477.98642549,32.6144657549115
dpy-1,L3,31,488.01308039,30.9074979988843
dpy-1,L3,31,456.26200654,30.783244243512193
dpy-1,L3,31,457.93311569,27.93811789855922
dpy-1,L3,31,487.17752581499997,29.308088704461206
dpy-1,L3,31,474.64420719,31.205352478089885
dpy-1,L3,31,449.57756994,32.4338558094152
dpy-1,L3,31,449.57756994,31.005632820945923
dpy-1,L3,31,472.97309803999997,31.72462113660714
dpy-1,L3,31,467.12421601499994,32.52892083047053
dpy-1,L3,31,466.28866143999994,30.388983599876028
dpy-1,L3,31,485.506416665,30.875622426042682
dpy-1,L3,31,472.97309803999997,31.731134866079735
dpy-1,L3,31,487.177525815,32.727785320270456
dpy-1,L3,31,486.34197124,30.860410687008542
dpy-1,L3,32,471.30198888999996,32.41071405472477
dpy-1,L3,32,493.02640784,33.39299167508504
dpy-1,L3,32,484.67086209,32.83091413995434
dpy-1,L3,32,508.06639019,32.55043596154839
dpy-1,L3,32,486.34197124,33.70032583524664
dpy-1,L3,32,462.94644314000004,32.51278240279069
dpy-1,L3,32,519.76415424,31.040382111415518
dpy-1,L3,32,493.86196241499994,31.797889027324544
dpy-1,L3,32,508.901944765,32.826745763794534
dpy-1,L3,32,454.59089739,33.87090521209072
dpy-1,L3,32,493.02640784,31.49418281921412
dpy-1,L3,32,459.60422484000003,32.295066963246065
dpy-1,L3,32,462.94644314000004,31.41340961736111
dpy-1,L3,32,469.63087973999995,32.8984349660687
dpy-1,L3,32,495.53307156499994,31.946843745057485
dpy-1,L3,32,469.63087973999995,33.38767009662061
dpy-1,L3,32,495.53307156499994,33.761250670267614
dpy-1,L3,32,474.64420719,35.75361334346154
dpy-1,L3,32,489.68418954,33.701252126789335
dpy-1,L3,32,476.31531634,34.4790266875506
dpy-1,L3,32,457.93311569,33.91560840247663
dpy-1,L3,32,474.64420719,32.97516545267606
dpy-1,L3,33,501.38195358999997,34.11150425142432
dpy-1,L3,33,523.1063725399999,35.732810875862064
dpy-1,L3,33,472.97309803999997,33.30287881578843
dpy-1,L3,33,477.98642549,34.48654297658406
dpy-1,L3,33,482.99975294,35.129804878893616
dpy-1,L3,33,479.65753464,32.41319639662922
dpy-1,L3,33,491.35529869000004,35.52875758004546
dpy-1,L3,33,498.87528986499996,35.421548574878685
dpy-1,L3,33,508.06639019,33.91472533409639
dpy-1,L3,33,515.586381365,33.29652775773512
dpy-1,L3,33,474.64420719,33.77066242973094
dpy-1,L3,33,477.150870915,31.699993550466445
dpy-1,L3,33,493.02640783999993,32.60319519478632
dpy-1,L3,33,494.69751698999994,33.50664535768116
dpy-1,L3,33,496.36862613999995,35.146078379823315
dpy-1,L3,33,488.01308039,34.2454344425
dpy-1,L3,33,494.69751699,34.6509691673763
dpy-1,L3,33,471.30198888999996,32.32444253824279
dpy-1,L3,33,526.44859084,34.12009720050228
dpy-1,L3,33,509.73749933999994,33.83564119605106
dpy-1,L3,33,482.16419836499995,34.62196550540321
dpy-1,L3,33,488.01308039,33.990806835844154
dpy-1,L3,34,518.928599665,38.5438766066352
dpy-1,L3,34,510.573053915,36.82421074425616
dpy-1,L3,34,506.39528104,34.85115832630081
dpy-1,L3,34,512.2441630650001,36.351894590277325
dpy-1,L3,34,508.06639019,38.350365399637
dpy-1,L3,34,528.11969999,35.77037088680555
dpy-1,L3,34,488.01308039,35.73358411807165
dpy-1,L3,34,482.99975294,35.90107972488889
dpy-1,L3,34,466.28866143999994,36.91332716502283
dpy-1,L3,34,518.928599665,36.254232204253995
dpy-1,L3,34,496.36862613999995,35.53091805670799
dpy-1,L3,34,511.40860849,36.7469311713362
dpy-1,L3,34,521.4352633899999,38.103959342719996
dpy-1,L3,34,511.40860849,36.38552382013491
